county_name,pop_18_24,enrolled_college,enrollment_rate,median_household_income,income_quartile_label
Edwards County,278,2,0.00719424460431654,40313,Q1 — Lowest income
Coleman County,528,5,0.00946969696969697,49159,Q1 — Lowest income
Terry County,984,35,0.03556910569105691,44100,Q1 — Lowest income
Bailey County,814,30,0.03685503685503685,61420,Q2
Mills County,286,11,0.03846153846153846,67620,Q3
Duval County,771,32,0.04150453955901426,49038,Q1 — Lowest income
Presidio County,494,29,0.05870445344129554,43802,Q1 — Lowest income
Karnes County,1375,97,0.07054545454545455,60214,Q2
Lipscomb County,224,16,0.07142857142857142,72560,Q3
Dawson County,1371,105,0.07658643326039387,54360,Q1 — Lowest income
